,Company,model,Year,Expert_rating,Symbol
528,mazda,MX5 Miata,2011,7.6,7261.T
529,mazda,Mazda6,2007,8.3,7261.T
530,mazda,MX5 Miata,2020,8.6,7261.T
531,mazda,Mazda6,2020,8.6,7261.T
532,mazda,Mazda3,2020,8.6,7261.T
533,mazda,Mazda3,2019,8.3,7261.T
534,mazda,MX5 Miata,2015,8.0,7261.T
535,mazda,Mazda3,2012,8.8,7261.T
536,mazda,Mazda6,2012,8.1,7261.T
537,mazda,Mazda3,2017,8.3,7261.T
538,mazda,Mazda6,2017,8.1,7261.T
539,mazda,Mazda3,2007,8.7,7261.T
540,mazda,MX5 Miata,2012,8.3,7261.T
541,mazda,MX5 Miata,2017,8.2,7261.T
542,mazda,Mazda3,2018,8.4,7261.T
543,mazda,Mazda3,2016,8.7,7261.T
544,mazda,Mazda6,2018,8.0,7261.T
545,mazda,Mazda6,2016,8.4,7261.T
546,mazda,MX5 Miata,2016,8.3,7261.T
547,mazda,MX5 Miata,2019,8.5,7261.T
548,mazda,MX5 Miata,2018,8.7,7261.T
549,nissan,Murano,2022,7.8,7201.T
550,nissan,Murano,2013,8.7,7201.T
551,nissan,Murano,2019,7.8,7201.T
552,nissan,Pathfinder,2013,7.2,7201.T
553,nissan,Altima,2018,8.0,7201.T
554,nissan,Murano,2009,8.9,7201.T
555,nissan,Pathfinder,2019,7.4,7201.T
556,nissan,Altima,2019,7.7,7201.T
557,nissan,Altima,2022,7.9,7201.T
558,nissan,Altima,2009,7.8,7201.T
559,nissan,Murano,2018,8.1,7201.T
560,nissan,Pathfinder,2018,7.7,7201.T
561,nissan,Altima,2013,8.2,7201.T
562,nissan,Pathfinder,2009,7.6,7201.T
563,nissan,Pathfinder,2008,7.7,7201.T
564,nissan,Altima,2011,8.1,7201.T
565,nissan,Pathfinder,2011,7.4,7201.T
566,nissan,Altima,2008,8.5,7201.T
567,nissan,Murano,2010,9.0,7201.T
568,nissan,Pathfinder,2010,7.7,7201.T
569,nissan,Altima,2015,8.2,7201.T
570,nissan,Altima,2010,8.2,7201.T
571,nissan,Murano,2007,9.0,7201.T
572,nissan,Pathfinder,2016,7.3,7201.T
573,nissan,Altima,2016,8.2,7201.T
574,nissan,Pathfinder,2015,7.3,7201.T
575,nissan,Murano,2015,8.2,7201.T
576,nissan,Altima,2021,8.0,7201.T
577,nissan,Murano,2021,7.8,7201.T
578,nissan,Murano,2016,8.3,7201.T
579,nissan,Murano,2011,8.9,7201.T
580,nissan,Altima,2017,8.2,7201.T
581,nissan,Altima,2012,8.7,7201.T
582,nissan,Altima,2014,8.2,7201.T
583,nissan,Pathfinder,2014,7.4,7201.T
584,nissan,Murano,2020,8.1,7201.T
585,nissan,Pathfinder,2020,7.5,7201.T
586,nissan,Altima,2020,8.1,7201.T
587,nissan,Murano,2017,8.3,7201.T
588,nissan,Pathfinder,2017,7.5,7201.T
589,nissan,Murano,2014,8.3,7201.T
590,nissan,Pathfinder,2012,7.3,7201.T
591,nissan,Murano,2012,8.8,7201.T
592,subaru,Legacy,2020,8.1,7270.T
593,subaru,Legacy,2012,8.0,7270.T
594,subaru,Impreza,2021,7.9,7270.T
595,subaru,Forester,2012,8.5,7270.T
596,subaru,Impreza,2007,8.3,7270.T
597,subaru,Legacy,2009,7.8,7270.T
598,subaru,Forester,2009,8.2,7270.T
599,subaru,Forester,2020,8.2,7270.T
600,subaru,Forester,2007,8.2,7270.T
601,subaru,Legacy,2011,8.0,7270.T
602,subaru,Forester,2011,8.2,7270.T
603,subaru,Impreza,2011,8.3,7270.T
604,subaru,Legacy,2019,7.4,7270.T
605,subaru,Impreza,2019,7.7,7270.T
606,subaru,Impreza,2020,8.0,7270.T
607,subaru,Impreza,2009,7.7,7270.T
608,subaru,Impreza,2012,8.3,7270.T
609,subaru,Forester,2019,7.8,7270.T
610,subaru,Forester,2013,7.5,7270.T
611,subaru,Impreza,2018,7.9,7270.T
612,subaru,Impreza,2014,8.1,7270.T
613,subaru,Forester,2014,8.1,7270.T
